Group num: 0, TC(X;Y_j): 284.094
comp99404_c0_seq2, 0.480
comp57476_c0_seq1, 0.479
comp147692_c0_seq1, 0.479
comp30105_c0_seq5, 0.478
comp123146_c0_seq1, 0.476
comp69643_c0_seq1, 0.476
comp35315_c0_seq1, 0.476
comp168784_c0_seq1, 0.476
comp1130_c4_seq3, 0.476
comp240658_c0_seq1, 0.476
comp50844_c0_seq1, 0.475
comp31497_c0_seq1, 0.475
comp247928_c0_seq1, 0.474
comp219283_c0_seq1, 0.474
comp158584_c0_seq2, 0.473
comp481478_c0_seq1, 0.472
comp380969_c0_seq1, 0.470
comp304766_c0_seq1, 0.470
comp150445_c0_seq1, 0.469
comp269833_c0_seq1, 0.468
comp234553_c0_seq2, 0.468
comp183842_c0_seq1, 0.467
comp324013_c0_seq1, 0.467
comp208035_c0_seq1, 0.467
comp373889_c0_seq1, 0.466
comp1132_c11_seq1, 0.466
comp83919_c0_seq1, 0.466
comp508491_c0_seq1, 0.465
comp23260_c0_seq1, 0.465
comp6898_c0_seq1, 0.465
comp201502_c0_seq1, 0.465
comp223879_c0_seq1, 0.465
comp171849_c0_seq1, 0.464
comp485799_c0_seq1, 0.464
comp371719_c0_seq1, 0.464
comp442202_c0_seq1, 0.463
comp272374_c0_seq1, 0.463
comp114887_c0_seq1, 0.463
comp45638_c0_seq1, 0.463
comp49824_c0_seq1, 0.462
comp411868_c0_seq1, 0.462
comp158781_c0_seq1, 0.462
comp105437_c0_seq1, 0.461
comp1324_c31_seq47, 0.461
comp366917_c0_seq1, 0.461
comp224919_c0_seq1, 0.460
comp229174_c0_seq1, 0.460
comp71363_c0_seq1, 0.459
comp39151_c1_seq1, 0.459
comp139357_c1_seq1, 0.459
comp128917_c0_seq1, 0.459
comp155226_c0_seq3, 0.459
comp380740_c0_seq1, 0.458
comp449575_c0_seq1, 0.458
comp346094_c0_seq1, 0.458
comp1130_c4_seq2, 0.458
comp149604_c0_seq1, 0.458
comp253543_c0_seq1, 0.458
comp256816_c0_seq1, 0.457
comp81187_c0_seq1, 0.456
comp40708_c0_seq1, 0.456
comp164992_c0_seq1, 0.456
comp466543_c0_seq1, 0.456
comp3929_c3_seq3, 0.454
comp122581_c0_seq1, 0.454
comp7241_c0_seq4, 0.454
comp395890_c0_seq1, 0.454
comp114400_c0_seq1, 0.453
comp189561_c0_seq1, 0.452
comp359955_c0_seq1, 0.452
comp131464_c0_seq1, 0.451
comp328758_c0_seq1, 0.451
comp402410_c0_seq1, 0.451
comp339414_c0_seq1, 0.451
comp467572_c0_seq1, 0.451
comp427085_c0_seq1, 0.450
comp287756_c0_seq1, 0.449
comp230355_c0_seq1, 0.449
comp477260_c0_seq1, 0.449
comp91432_c0_seq1, 0.449
comp353996_c0_seq1, 0.448
comp28192_c0_seq4, 0.448
comp245997_c0_seq1, 0.448
comp826_c2_seq11, 0.448
comp6242_c0_seq1, 0.448
comp314040_c0_seq1, 0.448
comp1068_c0_seq3, 0.448
comp343214_c0_seq1, 0.448
comp372347_c0_seq1, 0.447
comp234553_c0_seq1, 0.447
comp303103_c0_seq1, 0.446
comp106986_c0_seq5, 0.446
comp531434_c0_seq1, 0.446
comp447243_c0_seq1, 0.446
comp482985_c0_seq1, 0.446
comp406900_c0_seq1, 0.446
comp258012_c0_seq1, 0.446
comp413707_c0_seq1, 0.445
comp135838_c0_seq1, 0.445
comp28548_c0_seq1, 0.445
comp325290_c0_seq1, 0.445
comp261981_c0_seq1, 0.444
comp135110_c0_seq1, 0.442
comp77565_c0_seq2, 0.442
comp23607_c0_seq1, 0.442
comp375685_c0_seq1, 0.441
comp208413_c0_seq1, 0.441
comp360444_c0_seq1, 0.441
comp127900_c0_seq1, 0.441
comp118446_c0_seq1, 0.441
comp276282_c0_seq1, 0.440
comp319183_c0_seq1, 0.440
comp189726_c0_seq1, 0.440
comp41168_c0_seq2, 0.440
comp48983_c0_seq1, 0.439
