Group num: 0, TC(X;Y_j): 1.498
q18, 0.013, 0.328, 0.004
red_q46, 0.028, 0.149, 0.004
q37, 0.013, 0.296, 0.004
q7, 0.012, 0.334, 0.004
blue_q40, 0.024, 0.149, 0.004
q12, 0.029, 0.115, 0.003
red_q41, 0.017, 0.161, 0.003
q22, 0.010, 0.271, 0.003
q33, 0.012, 0.205, 0.003
q3, 0.011, 0.218, 0.002
q43, 0.011, 0.223, 0.002
q27, 0.012, 0.190, 0.002
q28, 0.012, 0.166, 0.002
blue_q15, 0.016, 0.110, 0.002
blue_q0, 0.015, 0.105, 0.002
red_q36, 0.014, 0.107, 0.001
red_q6, 0.018, 0.078, 0.001
blue_q45, 0.017, 0.080, 0.001
blue_q20, 0.024, 0.057, 0.001
q38, 0.017, 0.077, 0.001
blue_q5, 0.013, 0.090, 0.001
blue_q30, 0.014, 0.080, 0.001
red_q31, 0.013, 0.082, 0.001
q13, 0.008, 0.117, 0.001
q42, 0.009, 0.108, 0.001
blue_q35, 0.006, 0.137, 0.001
q48, 0.014, 0.044, 0.001
q2, 0.008, 0.075, 0.001
q23, 0.013, 0.046, 0.001
red_q21, 0.006, 0.091, 0.001
red_q16, 0.006, 0.082, 0.000
red_q1, 0.005, 0.102, 0.000
red_q26, 0.004, 0.125, 0.000
q32, 0.004, 0.095, 0.000
blue_q10, 0.010, 0.034, 0.000
q17, 0.009, 0.031, 0.000
red_q11, 0.002, 0.063, 0.000
Group num: 4, TC(X;Y_j): 0.888
q27, 0.213, 1.000, 0.213
q2, 0.180, 1.000, 0.180
q22, 0.169, 1.000, 0.169
q42, 0.162, 1.000, 0.162
q7, 0.141, 1.000, 0.141
q17, 0.138, 1.000, 0.138
q32, 0.109, 1.000, 0.109
q47, 0.095, 1.000, 0.095
q12, 0.094, 1.000, 0.094
q37, 0.077, 1.000, 0.077
q38, 0.029, 0.197, 0.006
q48, 0.021, 0.216, 0.005
red_q11, 0.016, 0.172, 0.003
q33, 0.027, 0.078, 0.002
q34, 0.018, 0.116, 0.002
q18, 0.009, 0.125, 0.001
q4, 0.003, 0.126, 0.000
q23, 0.009, 0.038, 0.000
q3, 0.007, 0.046, 0.000
q24, 0.005, 0.063, 0.000
q28, 0.016, 0.016, 0.000
red_q16, 0.003, 0.067, 0.000
q43, 0.006, 0.033, 0.000
red_q46, 0.008, 0.025, 0.000
red_q36, 0.004, 0.045, 0.000
red_q21, 0.006, 0.028, 0.000
blue_q35, 0.002, 0.083, 0.000
red_q6, 0.003, 0.051, 0.000
red_q41, 0.003, 0.049, 0.000
blue_q10, 0.005, 0.020, 0.000
red_q31, 0.005, 0.018, 0.000
blue_q5, 0.002, 0.048, 0.000
q39, 0.002, 0.042, 0.000
blue_q45, 0.002, 0.034, 0.000
q8, 0.002, 0.030, 0.000
red_q1, 0.003, 0.017, 0.000
q13, 0.002, 0.030, 0.000
q9, 0.001, 0.021, 0.000
