factor,blue_q0,red_q1,q2,q3,q4,blue_q5,red_q6,q7,q8,q9,blue_q10,red_q11,q12,q13,q14,blue_q15,red_q16,q17,q18,q19,blue_q20,red_q21,q22,q23,q24,blue_q25,red_q26,q27,q28,q29,blue_q30,red_q31,q32,q33,q34,blue_q35,red_q36,q37,q38,q39,blue_q40,red_q41,q42,q43,q44,blue_q45,red_q46,q47,q48,q49
0,0.309951755181,0.0319604434347,-0.0,0.0129494586896,0.00984302964872,0.331253932132,0.147397944498,0.00732033483197,0.0180039296148,0.0165860843004,0.344391874444,0.0,-0.0,0.0213815046382,0.0169353917944,0.259554331451,0.0270711279777,0.0076397351826,0.0141496091069,0.00828690431485,0.378695362538,0.0479667631029,0.00605472703131,0.0143504408565,0.0301624313207,0.227126220849,0.0177536647639,0.0,0.017225119757,0.0233508493718,0.399889912832,0.132738289176,0.0,0.0042063172198,0.0076091321257,0.192403939052,0.0426126796688,0.0,0.00507319500705,-0.0,0.217285419568,0.0410580441798,0.0,0.0123374026821,-0.0,0.273524130637,0.106326968167,0.0,0.0401289478783,0.0466839928955
1,0.0133117321869,0.0099953491185,0.00625712503866,0.315475554482,0.00536187453927,0.00993324848118,0.00971499798891,0.00637782985024,0.175317184228,0.0240865738097,0.0444749866554,0.0197672020259,-0.0,0.210207911504,-0.0,0.0111797890125,0.0,0.0593191115475,0.0988023777375,0.00632992278709,0.0155376567162,0.0,0.00367496592087,0.174165318723,0.0118356066257,0.0121343925927,0.0045219408225,0.0183510265092,0.372599715694,0.0,0.0162018693474,0.0162911268926,0.00331634757532,0.340143473669,0.0192199627997,0.00620979505769,0.0,0.0202274513549,0.338971922094,0.0,0.00772041053129,0.0,0.0,0.372150324468,0.0125675279067,0.0150088964533,0.0169980725594,0.00441967074056,0.319815428716,0.0037576544747
2,0.041866093825,0.244311596301,0.020899873157,0.00354799886447,0.0,0.0692169054615,0.2700305202,0.00357250905782,0.0121340978856,0.0079883987933,0.109368433432,0.0328930672651,0.0222618583607,0.0121662902862,0.021687876792,0.0284244715449,0.32712669595,0.0176397500915,0.0126329553925,0.0173637831457,0.110028747486,0.300567813695,0.0413333368211,0.00531792531292,0.014548359833,0.0724407736931,0.206367006437,0.0134773397921,0.0154231616809,0.0331255209797,0.0862398273264,0.259199392128,0.0219223925553,0.0124172549796,0.0114122336528,0.016882836479,0.219656483258,0.0238547459709,0.00848574279123,0.0,0.0347809046384,0.326656502062,0.026306389174,0.0109266153321,0.0202083720899,0.0422540305835,0.198248429205,0.00792968424122,0.00952268390456,0.0259855602381
3,0.0220301781252,0.00679922440354,0.0112481697052,0.0160730020565,0.231562201743,0.0191841317078,0.0257501612908,0.0167931905691,0.0276058840753,0.294931626976,0.0145500331482,0.00313733259496,0.0418484800013,0.0116501894129,0.25178308571,0.023669299812,0.00850211760062,0.0129675558376,0.0184604979802,0.194169555407,0.0343621421443,0.00823027744281,0.0138589981972,0.0180916341547,0.3028166707,0.0913459023473,0.00529374230424,0.0176193702185,0.0176096418918,0.241742826036,0.0205471377139,0.0184683681145,0.00620418457621,0.0177465936661,0.185906264522,0.0092253267905,0.0201386979969,0.0190099613232,0.0242321359152,0.200196478472,0.0351446905512,0.024722108726,0.0123202278362,0.0152556255028,0.113037435108,0.0246877921396,0.0397836291317,0.0372027629193,0.0201377268861,0.361568274203
4,0.0,0.00452052066255,0.260188044683,0.010572836632,0.00440496282535,0.00236126612176,0.00423847409249,0.20389461222,0.00281786603183,0.00211803467324,0.00702057598492,0.0224892455891,0.13514728087,0.00217545563039,0.0,-0.0,0.00462144079003,0.199208405955,0.01325994554,0.0,0.0,0.00862027755238,0.243969962549,0.0136429961236,0.00699091504123,0.0,0.0,0.307314089111,0.0224845180959,0.0,0.0,0.00652194412419,0.157010961,0.0386387192819,0.0260533219838,0.00262393149365,0.00617537748909,0.110809833108,0.0414448614574,0.00234271938772,-0.0,0.00419512906087,0.233443564981,0.00894674478269,0.0,0.00291494937833,0.0118440222366,0.13685906985,0.0301504948745,-0.0
