0,1,1,1,0,0
1,1,1,1,0,1
2,1,0,1,1,1
3,1,0,1,0,1
4,1,1,1,1,1
5,0,1,1,0,1
6,0,0,1,1,0
7,0,1,0,0,1
8,1,1,1,1,0
9,1,0,1,1,0
10,0,1,0,0,1
11,0,0,1,0,1
12,1,1,0,0,0
13,1,1,1,1,1
14,0,1,0,0,1
15,0,0,0,0,1
16,1,0,1,1,1
17,0,1,0,0,1
18,1,0,1,1,0
19,1,1,1,1,0
20,1,0,1,1,0
21,0,0,0,1,0
22,1,0,1,1,0
23,0,1,0,1,1
24,0,1,0,0,1
25,1,0,1,1,0
26,0,0,0,1,1
27,1,0,1,0,0
28,1,1,1,1,0
29,1,1,1,1,0
30,0,1,0,0,1
31,1,0,1,1,0
32,1,1,1,1,0
33,0,1,0,0,0
34,1,1,0,1,1
35,0,1,0,1,1
36,1,0,1,1,0
37,0,0,0,1,1
38,0,1,0,1,1
39,0,1,1,0,0
40,1,0,1,1,1
41,0,0,0,1,0
42,1,1,1,1,0
43,0,0,0,0,1
44,0,0,0,0,0
45,1,0,1,0,1
46,0,1,0,0,0
47,0,0,1,1,1
48,0,0,1,0,0
49,1,0,1,1,0
50,1,0,0,1,0
51,1,0,0,0,1
52,0,0,0,0,0
53,0,0,0,0,0
54,0,1,0,1,0
55,1,1,1,1,1
56,0,1,1,1,0
57,1,0,1,1,1
58,1,0,1,1,0
59,0,1,1,1,1
60,1,1,1,0,1
61,1,1,0,0,1
62,0,0,0,1,0
63,1,0,1,1,0
64,1,0,1,1,0
65,0,1,0,1,1
66,0,1,0,0,0
67,1,0,1,1,0
68,1,0,1,1,0
69,1,1,0,1,1
70,0,1,0,0,0
71,0,1,0,1,0
72,0,1,0,1,1
73,0,1,0,0,0
74,1,1,0,0,1
75,1,1,1,0,0
76,1,1,1,1,0
77,1,0,1,0,1
78,1,0,1,0,0
79,1,0,1,1,0
80,1,0,1,1,0
81,1,0,1,1,0
82,0,0,0,1,0
83,0,0,0,1,0
84,0,1,0,0,0
85,0,0,0,0,0
86,0,1,0,1,1
87,0,0,0,0,0
88,0,0,0,1,0
89,0,1,0,1,1
90,0,1,1,0,0
91,0,0,0,0,0
92,0,1,0,0,0
93,0,1,1,0,1
94,1,1,1,1,0
95,0,1,0,1,1
96,0,0,0,0,0
97,1,0,0,0,1
98,0,1,1,1,1
99,0,1,0,1,1
100,0,0,0,1,0
101,1,0,0,0,1
102,1,0,0,1,1
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,1,0
106,1,1,0,1,0
107,1,0,1,1,0
108,1,1,0,0,1
109,0,1,0,1,1
110,1,1,0,1,1
111,0,1,1,0,1
112,0,0,0,1,0
113,1,0,1,1,0
114,0,0,1,0,0
115,0,0,0,0,0
116,1,0,0,1,0
117,1,0,0,0,0
118,0,1,0,1,1
119,1,0,1,1,1
120,1,1,1,1,1
121,0,0,0,0,1
122,1,1,1,0,1
123,0,0,0,1,0
124,0,1,0,1,1
125,0,0,0,0,0
126,1,1,0,0,1
