factor,blue_q0,red_q1,q2,q3,q4,blue_q5,red_q6,q7,q8,q9,blue_q10,red_q11,q12,q13,q14,blue_q15,red_q16,q17,q18,q19,blue_q20,red_q21,q22,q23,q24,blue_q25,red_q26,q27,q28,q29,blue_q30,red_q31,q32,q33,q34,blue_q35,red_q36,q37,q38,q39,blue_q40,red_q41,q42,q43,q44,blue_q45,red_q46,q47,q48,q49
0,0.309951755181,0.00536077725342,-0.0,0.00021502791182,0.00175578366707,0.331253932132,0.0241353359411,9.94996967452e-05,0.000671549772487,0.000932785057317,0.344391874444,0.0,-0.0,0.00468734503029,0.00125006406918,0.259554331451,0.00221894491621,6.83339461771e-05,0.000876524457947,0.000763066695658,0.378695362538,0.00583481952436,0.000187829123234,0.00108305214012,0.00577687243939,0.227126220849,0.0027454120769,0.0,0.00124949055232,0.0016329265295,0.399889912832,0.0194682824125,0.0,7.56531874066e-05,0.000249479741826,0.192403939052,0.0105816721325,0.0,6.48035858565e-05,-0.0,0.217285419568,0.00315831109075,0.0,0.000244525098203,-0.0,0.273524130637,0.0243303909328,0.0,0.0031539474085,0.00763778180928
1,0.000617427281398,0.000615655561647,0.000315893691272,0.315475554482,0.00023445459012,0.000213827266718,0.000297208351477,0.000238423545803,0.175317184228,0.00203243980082,0.00377408372617,0.00712151722817,-0.0,0.210207911504,-0.0,0.000968645979421,0.0,0.0139796632309,0.0988023777375,0.00135890085521,0.00038774900896,0.0,7.67070685571e-05,0.174165318723,0.00038179376212,0.000628388187834,0.000358606525576,0.000714553244607,0.372599715694,0.0,0.000463738657529,0.000657361260579,8.74366592364e-05,0.340143473669,0.000638301347591,0.000154650068487,0.0,0.00127528589978,0.338971922094,0.0,0.000381080592952,0.0,0.0,0.372150324468,0.00226441944265,0.00109690687092,0.000991053700458,0.000225822592584,0.319815428716,0.000114737541212
2,0.00569696846353,0.244311596301,0.00490065991269,0.000342952438569,0.0,0.0116439654047,0.2700305202,0.000352035564092,0.00110689705325,0.00130592954186,0.0148844613547,0.0328930672651,0.00736077574828,0.000567905830238,0.00437562426506,0.0043658502046,0.32712669595,0.00148233194046,0.00027663405969,0.000714024727487,0.0165352190744,0.300567813695,0.00365337985767,0.00142054169318,0.00102841853992,0.0148320871953,0.206367006437,0.000945778231027,0.000347488911355,0.00734866506376,0.0133977408969,0.259199392128,0.00708798204526,0.000423075127073,0.00258065585114,0.00393161945402,0.219656483258,0.00230321685236,0.000255775935197,0.0,0.00548270417946,0.326656502062,0.00610065933146,0.000608057851536,0.00527174924084,0.00723574675581,0.198248429205,0.000853965995209,0.000115326621682,0.00143879779842
3,0.00231476509287,0.000692620482533,0.000843098643354,0.00350733893672,0.231562201743,0.001734735314,0.00199785734153,0.00561703270759,0.00742882594718,0.294931626976,0.000498288806443,0.000199009903412,0.00480006798076,0.00136817171042,0.25178308571,0.00260656587627,0.000696166423744,0.000404533804293,0.00606300668957,0.194169555407,0.00195370038947,0.000748207040256,0.00374952348486,0.00084074719824,0.3028166707,0.0120228343483,0.000664124034532,0.00334913648781,0.0029250915223,0.241742826036,0.00163939928568,0.0015234849118,0.000587645897928,0.00364334042152,0.185906264522,0.00126556829617,0.00215040334543,0.00562900716,0.00186713275059,0.200196478472,0.00523679163843,0.00398346270169,0.00132475568131,0.00339568750963,0.113037435108,0.00198538188535,0.00592667077818,0.0113148530535,0.000878491441339,0.361568274203
4,0.0,7.50639962417e-05,0.260188044683,0.000488265990108,0.000554639479835,0.000113690591048,0.000215641664355,0.20389461222,8.53898797525e-05,4.38764244927e-05,0.000137169335407,0.00386952947956,0.13514728087,6.45775326276e-05,0.0,-0.0,0.000309770487738,0.199208405955,0.00165167742691,0.0,0.0,0.000241239110608,0.243969962549,0.000520183561037,0.000443453566048,0.0,0.0,0.307314089111,0.000351931587588,0.0,0.0,0.000118580802258,0.157010961,0.00302275695062,0.0030213096082,0.000216609729307,0.000279234460376,0.110809833108,0.00816546111494,9.87352998657e-05,-0.0,0.000205568937647,0.233443564981,0.000299274913506,0.0,9.78900910634e-05,0.000297695352446,0.13685906985,0.00651768123525,-0.0
